card_id,customer_id,card_brand,card_type,card_number_last_4,card_number_hash,cardholder_name,expiry_month,expiry_year,is_default,card_status,issued_date,created_at
CARD_00000001,CUST_000001,Mastercard,Debit,1922,hash_8665737378221922,Danielle Johnson,5,2029,True,Expired,2023-11-14,2026-03-10 09:14:45.508676
CARD_00000002,CUST_000002,Discover,Credit,5709,hash_5048910989885709,Maria Montgomery,4,2025,True,Active,2024-08-10,2026-03-10 09:14:45.509928
CARD_00000003,CUST_000003,Discover,Credit,1952,hash_7596719726261952,Diana Foster,3,2031,True,Expired,2026-02-18,2026-03-10 09:14:45.511032
CARD_00000004,CUST_000004,American Express,Credit,2813,hash_6806598038392813,Daniel Graham,6,2026,True,Blocked,2024-10-02,2026-03-10 09:14:45.511992
CARD_00000005,CUST_000005,Mastercard,Business,5455,hash_8453917548045455,Jennifer Ross,7,2028,True,Active,2024-09-10,2026-03-10 09:14:45.512884
CARD_00000006,CUST_000006,American Express,Debit,7528,hash_2743751335507528,Collin Jordan,2,2031,True,Active,2023-03-24,2026-03-10 09:14:45.513728
CARD_00000007,CUST_000007,Mastercard,Debit,5432,hash_4595323030095432,Joseph Bowers,1,2030,True,Expired,2025-05-22,2026-03-10 09:14:45.514587
CARD_00000008,CUST_000007,Discover,Debit,5620,hash_6917130480875620,Joseph Bowers,5,2030,False,Expired,2024-10-08,2026-03-10 09:14:45.515373
CARD_00000009,CUST_000008,Visa,Debit,4429,hash_8122075784244429,James Moran,4,2025,True,Active,2023-03-21,2026-03-10 09:14:45.516253
CARD_00000010,CUST_000008,American Express,Business,0614,hash_1776725060800614,James Moran,8,2027,False,Active,2025-09-25,2026-03-10 09:14:45.517046
CARD_00000011,CUST_000009,American Express,Debit,0351,hash_7930363580460351,Eric Campbell,10,2029,True,Active,2025-03-10,2026-03-10 09:14:45.517870
CARD_00000012,CUST_000009,Mastercard,Debit,3394,hash_5537377431223394,Eric Campbell,4,2027,False,Active,2025-11-01,2026-03-10 09:14:45.518676
CARD_00000013,CUST_000010,Visa,Debit,9098,hash_9718073347479098,Kimberly Henson,6,2027,True,Active,2023-04-15,2026-03-10 09:14:45.519502
CARD_00000014,CUST_000010,Visa,Debit,6274,hash_5604493568056274,Kimberly Henson,9,2029,False,Blocked,2023-05-12,2026-03-10 09:14:45.520470
CARD_00000015,CUST_000010,American Express,Debit,1025,hash_8498238951611025,Kimberly Henson,8,2025,False,Expired,2024-08-24,2026-03-10 09:14:45.521654
CARD_00000016,CUST_000011,Discover,Credit,5570,hash_0591406038035570,Sheila Wilson,7,2025,True,Active,2024-02-08,2026-03-10 09:14:45.522545
CARD_00000017,CUST_000011,American Express,Business,1523,hash_7207210211501523,Sheila Wilson,1,2029,False,Active,2023-05-26,2026-03-10 09:14:45.523613
CARD_00000018,CUST_000011,Visa,Debit,6276,hash_9921066167086276,Sheila Wilson,11,2031,False,Active,2023-02-24,2026-03-10 09:14:45.524457
CARD_00000019,CUST_000012,Visa,Business,4616,hash_2207127733454616,Erica Orr,10,2031,True,Expired,2024-08-19,2026-03-10 09:14:45.525308
CARD_00000020,CUST_000012,Visa,Debit,6344,hash_2231104391266344,Erica Orr,6,2030,False,Expired,2025-12-07,2026-03-10 09:14:45.526120
CARD_00000021,CUST_000013,Mastercard,Debit,8718,hash_3957097601208718,Kimberly Robinson,7,2025,True,Active,2023-05-02,2026-03-10 09:14:45.526979
CARD_00000022,CUST_000014,Discover,Business,1048,hash_9916451493851048,Robert Rivera,6,2026,True,Expired,2025-12-01,2026-03-10 09:14:45.527819
CARD_00000023,CUST_000015,Discover,Business,9150,hash_4857184690949150,Mark Juarez,3,2029,True,Active,2023-12-06,2026-03-10 09:14:45.529026
CARD_00000024,CUST_000016,Discover,Business,4709,hash_7306725167554709,Randy Espinoza,4,2031,True,Active,2023-04-23,2026-03-10 09:14:45.530055
CARD_00000025,CUST_000017,Mastercard,Credit,7986,hash_0189148870087986,Mariah Miller,3,2027,True,Blocked,2022-04-05,2026-03-10 09:14:45.531296
CARD_00000026,CUST_000017,Mastercard,Debit,2740,hash_2512400986072740,Mariah Miller,7,2029,False,Active,2024-06-03,2026-03-10 09:14:45.532318
CARD_00000027,CUST_000018,American Express,Business,4682,hash_9899606945964682,Thomas Schmidt,8,2026,True,Expired,2025-06-01,2026-03-10 09:14:45.533410
CARD_00000028,CUST_000018,American Express,Business,4796,hash_1362196072124796,Thomas Schmidt,7,2028,False,Active,2025-01-23,2026-03-10 09:14:45.534422
CARD_00000029,CUST_000018,Mastercard,Credit,1263,hash_3581091629161263,Thomas Schmidt,1,2029,False,Blocked,2025-09-29,2026-03-10 09:14:45.535242
CARD_00000030,CUST_000019,Mastercard,Business,3148,hash_7898634002713148,Timothy Peterson,1,2029,True,Active,2024-12-25,2026-03-10 09:14:45.536080
CARD_00000031,CUST_000019,Visa,Business,8633,hash_0873944567718633,Timothy Peterson,11,2028,False,Expired,2025-02-28,2026-03-10 09:14:45.536918
CARD_00000032,CUST_000020,Mastercard,Credit,5608,hash_9189809275445608,Andrea Moore,3,2028,True,Expired,2024-07-29,2026-03-10 09:14:45.537776
CARD_00000033,CUST_000020,American Express,Credit,3418,hash_9211072257883418,Andrea Moore,8,2027,False,Active,2022-12-01,2026-03-10 09:14:45.538636
CARD_00000034,CUST_000021,Discover,Credit,1544,hash_1987841757491544,Cassandra Johnson,1,2026,True,Expired,2022-10-22,2026-03-10 09:14:45.539489
CARD_00000035,CUST_000022,Discover,Business,8493,hash_2771705727088493,Robert Lopez,11,2030,True,Expired,2023-02-21,2026-03-10 09:14:45.540396
CARD_00000036,CUST_000022,Mastercard,Credit,1080,hash_9826994613161080,Robert Lopez,8,2031,False,Active,2022-05-23,2026-03-10 09:14:45.541655
CARD_00000037,CUST_000022,Visa,Debit,3050,hash_5269814533313050,Robert Lopez,10,2030,False,Active,2024-09-16,2026-03-10 09:14:45.542440
CARD_00000038,CUST_000023,Visa,Business,1130,hash_1132360529691130,Sarah Romero,3,2029,True,Expired,2023-08-01,2026-03-10 09:14:45.543297
CARD_00000039,CUST_000024,Mastercard,Business,8420,hash_3135207443528420,Cory Lozano,10,2028,True,Active,2024-04-25,2026-03-10 09:14:45.544090
CARD_00000040,CUST_000024,American Express,Debit,6247,hash_2087178047136247,Cory Lozano,12,2026,False,Active,2023-12-22,2026-03-10 09:14:45.544895
